subject_slug,subject_title,source,chapter,chapter_title,problem_id,problem_label,kind,difficulty,page_ref,status,tags
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-1,Arithmetic counterexample: sum vs minimum,exercise,3,"Section 1.10","Not started","counterexample"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-2,Arithmetic counterexample: product vs minimum,exercise,3,"Section 1.10","Not started","counterexample"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-3,Road-network counterexample: fastest vs shortest,exercise,5,"Section 1.10","Not started","counterexample"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-4,Road-network counterexample: shortest vs fewest turns,exercise,5,"Section 1.10","Not started","counterexample"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-5,Knapsack greedy counterexamples,exercise,4,"Section 1.10","Not started","counterexample;knapsack;greedy"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-6,Set cover greedy counterexample,exercise,5,"Section 1.10","Not started","counterexample;set-cover;greedy"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-7,Maximum clique greedy counterexample,exercise,5,"Section 1.10","Not started","counterexample;graphs;greedy"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-8,Recursive multiplication correctness proof,proof,3,"Section 1.10","Not started","correctness;recursion"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-9,Horner evaluation correctness proof,proof,3,"Section 1.10","Not started","correctness;polynomials"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-10,Bubblesort correctness proof,proof,3,"Section 1.10","Not started","correctness;sorting"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-11,Euclid algorithm correctness proof,proof,5,"Section 1.10","Not started","correctness;number-theory"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-12,Sum of integers induction proof,proof,3,"Section 1.10","Not started","induction"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-13,Sum of squares induction proof,proof,3,"Section 1.10","Not started","induction"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-14,Sum of cubes induction proof,proof,3,"Section 1.10","Not started","induction"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-15,Product-sum identity induction proof,proof,3,"Section 1.10","Not started","induction"
