subject_slug,subject_title,source,chapter,chapter_title,problem_id,problem_label,kind,difficulty,page_ref,status,tags
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,1,OS roles as referee illusionist and glue,discussion,,"Chapter 1 Exercises","Not started","os;concepts"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,2,Compare core operating-systems terms,discussion,,"Chapter 1 Exercises","Not started","os;concepts"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,3,Define direct memory access,exercise,,"Chapter 1 Exercises","Not started","os;hardware"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,4,Resource allocation without fault isolation,discussion,,"Chapter 1 Exercises","Not started","os;resource-management"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,5,Hardware and OS support for fault isolation,discussion,,"Chapter 1 Exercises","Not started","os;isolation;security"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,6,Inter-application communication design,discussion,,"Chapter 1 Exercises","Not started","os;communication"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,7,Design a virtual memory illusion,design,,"Chapter 1 Exercises","Not started","os;virtual-memory"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,8,Run an OS as an application,design,,"Chapter 1 Exercises","Not started","os;virtualization"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,9,Crash-consistent disk update design,design,,"Chapter 1 Exercises","Not started","os;storage;reliability"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,10,Government resource management analogy,discussion,,"Chapter 1 Exercises","Not started","os;resource-management"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,11,Ultra-reliable operating system design,design,,"Chapter 1 Exercises","Not started","os;reliability"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,12,Reboot time and availability techniques,discussion,,"Chapter 1 Exercises","Not started","os;availability"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice v1 PDF,01,Introduction,13,Prioritize OS design goals for current computer,discussion,,"Chapter 1 Exercises","Not started","os;tradeoffs"
operating-systems-principles-practice,Operating Systems: Principles and Practice,Operating Systems: Principles and Practice,02,Processes and Threads,2.1,Add exercise title or short cue,exercise,,,"Not started","processes;threads"
